DrugbankID	UniprotID	HGNC_ID	HGNC_Name	CID	CHEMBL	Entrez_ID	Entrez_Gene		
DB00934	P08183	HGNC:40	ABCB1	CID000004011	CHEMBL1201257|CHEMBL1237135|CHEMBL21731	5243	ABCB1
DB00936	P08183	HGNC:40	ABCB1	CID000000338	CHEMBL2105994|CHEMBL424|CHEMBL447868	5243	ABCB1
DB00945	P08183	HGNC:40	ABCB1	CID000002244	CHEMBL25|CHEMBL447221	5243	ABCB1
DB00950	P08183	HGNC:40	ABCB1	CID000003348	CHEMBL1200618|CHEMBL914	5243	ABCB1
DB00959	P08183	HGNC:40	ABCB1	CID000006741	CHEMBL1200844|CHEMBL650	5243	ABCB1
DB00966	P08183	HGNC:40	ABCB1	CID000065999	CHEMBL1017	5243	ABCB1
DB00967	P08183	HGNC:40	ABCB1	CID000124087	CHEMBL1172	5243	ABCB1
DB00970	P08183	HGNC:40	ABCB1	CID000002019	CHEMBL602573	5243	ABCB1
DB00972	P08183	HGNC:40	ABCB1	CID000002267	CHEMBL1200809|CHEMBL639	5243	ABCB1
DB00973	P08183	HGNC:40	ABCB1	CID000150311	CHEMBL1138	5243	ABCB1
DB00975	P08183	HGNC:40	ABCB1	CID000003108	CHEMBL932	5243	ABCB1
DB00977	P08183	HGNC:40	ABCB1	CID000005991	CHEMBL691	5243	ABCB1
DB00997	P08183	HGNC:40	ABCB1	CID000031703	CHEMBL216371|CHEMBL359744|CHEMBL53463	5243	ABCB1
DB01016	P08183	HGNC:40	ABCB1	CID000003488	CHEMBL472	5243	ABCB1
DB01023	P08183	HGNC:40	ABCB1	CID000003333	CHEMBL1480	5243	ABCB1
DB01026	P08183	HGNC:40	ABCB1	CID000047576	CHEMBL295698	5243	ABCB1
DB01030	P08183	HGNC:40	ABCB1	CID000060699	CHEMBL1607|CHEMBL84	5243	ABCB1
DB01032	P08183	HGNC:40	ABCB1	CID000004911	CHEMBL897	5243	ABCB1
DB01037	P08183	HGNC:40	ABCB1	CID000026757	CHEMBL1200904|CHEMBL972	5243	ABCB1
DB01045	P08183	HGNC:40	ABCB1	CID005381226	CHEMBL374478	5243	ABCB1
DB01050	P08183	HGNC:40	ABCB1	CID000003672	CHEMBL1241153|CHEMBL427526|CHEMBL521	5243	ABCB1
DB01054	P08183	HGNC:40	ABCB1	CID000004507	CHEMBL475534	5243	ABCB1
